linha,sku,nome,motivo,erro
1,3465,Abajour Para Hamster,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
2,1635,Acessorios 800,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
3,1630,Acessorios 900,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
