linha,sku,nome,motivo,erro
1,3465,Abajour Para Hamster,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
2,1635,Acessorios 800,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
3,1630,Acessorios 900,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
4,991,Adesivo  Variados,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
5,6041,Adesivo Borboleta,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
6,1636,Adesivo Mini Presilha,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
7,997,Adesivo Presilha,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
8,6040,Adesivo Presilha Estrela,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
9,1868,Adesivos  Ano Novo,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
10,2649,Adesivos Laco G,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: When initializing mapper Mapper[User(users)], expression 'PadraoCategoriacaoIA' failed to locate a name ('PadraoCategoriacaoIA'). If this is a class name, consider adding this relationship() to the <class 'app.models.User'> class after both dependent classes have been defined."
