linha,sku,nome,motivo,erro
1,3465,Abajour Para Hamster,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[FormaPagamento(formas_pagamento)]'. Original exception was: When initializing mapper Mapper[FormaPagamento(formas_pagamento)], expression 'OperadoraCartao' failed to locate a name ('OperadoraCartao'). If this is a class name, consider adding this relationship() to the <class 'app.financeiro_models.FormaPagamento'> class after both dependent classes have been defined."
2,1635,Acessorios 800,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[FormaPagamento(formas_pagamento)]'. Original exception was: When initializing mapper Mapper[FormaPagamento(formas_pagamento)], expression 'OperadoraCartao' failed to locate a name ('OperadoraCartao'). If this is a class name, consider adding this relationship() to the <class 'app.financeiro_models.FormaPagamento'> class after both dependent classes have been defined."
3,1630,Acessorios 900,ERRO,"One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[FormaPagamento(formas_pagamento)]'. Original exception was: When initializing mapper Mapper[FormaPagamento(formas_pagamento)], expression 'OperadoraCartao' failed to locate a name ('OperadoraCartao'). If this is a class name, consider adding this relationship() to the <class 'app.financeiro_models.FormaPagamento'> class after both dependent classes have been defined."
